email,name,profile_score,rating_score,search_score
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7508@t-mobile.com,Leilani R.,1.15,3.50,3.50
user7903@hotmail.com,Faridah D.,1.15,4.60,2.88
user7903@hotmail.com,Faridah D.,1.15,4.60,2.88
user7903@hotmail.com,Faridah D.,1.15,4.60,2.88
user7903@hotmail.com,Faridah D.,1.15,4.60,2.88
user7903@hotmail.com,Faridah D.,1.15,4.60,2.88
user1969@hotmail.com,Shaina Z.,1.15,4.50,2.83
user1969@hotmail.com,Shaina Z.,1.15,4.50,2.83
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user4669@t-mobile.com,Jessica L.,1.35,2.80,2.80
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9029@t-mobile.com,Melissa C.,1.35,4.00,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user3251@yahoo.com,Robin R.,0.96,4.25,2.60
user3251@yahoo.com,Robin R.,0.96,4.25,2.60
user3251@yahoo.com,Robin R.,0.96,4.25,2.60
user3251@yahoo.com,Robin R.,0.96,4.25,2.60
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user2311@t-mobile.com,Justin K.,1.35,3.83,2.59
user7851@hotmail.com,Rachel  R.,1.15,4.00,2.58
user7851@hotmail.com,Rachel  R.,1.15,4.00,2.58
user7851@hotmail.com,Rachel  R.,1.15,4.00,2.58
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user5322@t-mobile.com,Lindsay H.,1.54,3.50,2.52
user5322@t-mobile.com,Lindsay H.,1.54,3.50,2.52
user2807@hotmail.com,Chris K.,1.15,3.83,2.49
user2807@hotmail.com,Chris K.,1.15,3.83,2.49
